City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
288,eirunepe,-6.6603,-69.8736,21.61,99,54,0.39,BR,1682483843
289,arzua,42.9333,-8.15,14.81,98,100,0.98,ES,1682483844
290,nemuro,43.3236,145.575,5.31,95,100,15.52,JP,1682483556
291,sieradz,51.5958,18.7302,3.71,84,9,5.7,PL,1682483845
292,el jadid,33.2549,-8.506,18.53,79,5,5.55,MA,1682483846
293,ascencion,31.1,-107.9833,19.51,20,0,9.79,MX,1682483847
294,ghardaia,32.4909,3.6735,22.64,23,0,1.54,DZ,1682483847
295,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,45,75,6.0,RU,1682483390
296,ebon,4.582,168.6964,27.48,80,100,10.35,MH,1682483849
297,gizo,-8.103,156.8419,29.08,70,50,1.07,SB,1682483849
298,poronaysk,49.2167,143.1167,2.92,81,100,6.32,RU,1682483850
299,peterhead,57.5058,-1.7981,0.22,73,31,4.76,GB,1682483851
300,sydney mines,46.2367,-60.2177,2.11,91,20,2.06,CA,1682483851
301,zapala,-38.8992,-70.0544,10.3,46,42,3.46,AR,1682483852
302,arkhangel'sk,64.5401,40.5433,3.06,64,40,5.0,RU,1682483580
303,jinchang,38.4953,102.1739,16.8,21,14,7.55,CN,1682483853
304,trincomalee,8.5711,81.2335,29.51,69,81,3.4,LK,1682483855
305,bell ville,-32.6259,-62.6887,14.81,83,73,2.02,AR,1682483855
306,viedma,-40.8135,-62.9967,18.06,55,99,4.07,AR,1682483856
307,tazovsky,67.4667,78.7,-7.15,86,33,3.56,RU,1682483857
308,luau,-10.7073,22.2247,16.6,84,90,1.65,AO,1682483858
309,happy valley-goose bay,53.3168,-60.3315,2.17,75,20,2.06,CA,1682483858
310,touros,-5.1989,-35.4608,24.55,90,68,4.01,BR,1682483597
311,tralee,52.2704,-9.7026,7.85,96,100,3.7,IE,1682483860
312,diamantino,-14.4086,-56.4461,22.44,83,24,1.3,BR,1682483860
313,marana,32.4367,-111.2254,26.3,20,0,3.6,US,1682483861
314,micheweni,-4.9667,39.8333,27.04,82,99,5.69,TZ,1682483862
315,ambositra,-20.5167,47.25,17.49,82,63,1.15,MG,1682483863
316,nuku'alofa,-21.1333,-175.2,25.19,88,40,4.63,TO,1682483864
317,damara,4.9608,18.7035,22.35,93,100,1.44,CF,1682483864
318,cozumel,20.5083,-86.9458,23.86,89,57,5.23,MX,1682483768
319,acarau,-2.8856,-40.12,24.91,89,89,3.87,BR,1682483866
320,puerto berrio,6.4916,-74.4033,23.46,95,93,0.76,CO,1682483866
321,gereida,11.2811,25.1414,30.27,41,87,8.31,SD,1682483867
322,katsuren-haebaru,26.3369,127.8719,21.43,74,100,5.66,JP,1682483868
323,weligama,5.9667,80.4167,31.47,60,82,1.37,LK,1682483868
324,alaghsas,17.0187,8.0168,28.64,11,4,3.91,NE,1682483870
325,bhiwani,28.7833,76.1333,34.23,14,93,1.95,IN,1682483870
326,abepura,-2.6333,140.5833,27.45,78,40,2.57,ID,1682483871
327,prince george,53.9166,-122.753,7.69,46,100,1.03,CA,1682483596
328,puerto cabezas,14.0351,-83.3888,25.07,80,1,3.89,NI,1682483873
329,mikhaylov,54.2292,39.0186,9.85,98,100,3.82,RU,1682483873
330,bodaybo,57.8506,114.1933,3.82,63,98,1.05,RU,1682483874
331,fortuna,40.5982,-124.1573,11.48,88,8,0.6,US,1682483875
332,zubin potok,42.9144,20.6897,7.36,93,100,2.89,XK,1682483876
333,nichinan,31.6,131.3667,21.82,49,79,5.38,JP,1682483876
334,remire-montjoly,4.9167,-52.2667,24.02,94,75,0.51,GF,1682483877
335,kwakoa,-3.7667,37.7167,21.55,89,99,0.59,TZ,1682483878
336,timmins,48.4669,-81.3331,-1.1,93,100,3.09,CA,1682483782
337,ludington,43.9553,-86.4526,2.27,82,0,2.06,US,1682483879
338,sitia,35.2,26.0986,17.21,74,100,2.37,GR,1682483880
339,iranshahr,27.2025,60.6848,27.19,41,0,0.0,IR,1682483880
340,kirillov,59.863,38.3813,11.61,66,100,2.15,RU,1682483558
341,paris,48.8534,2.3488,6.88,86,0,3.09,FR,1682483362
342,howard springs,-12.497,131.047,33.32,70,96,4.17,AU,1682483882
343,paita,-5.0892,-81.1144,25.86,77,93,2.38,PE,1682483883
344,cottage grove,44.8277,-92.9438,5.13,59,0,3.09,US,1682483818
345,potosi,-19.5836,-65.7531,5.43,25,0,1.2,BO,1682483702
346,rovnoye,50.7765,46.0509,10.09,90,55,6.63,RU,1682483885
347,hong kong,22.2855,114.1577,26.25,65,8,4.02,HK,1682483651
348,cinisi,38.1562,13.1073,17.7,72,40,3.09,IT,1682483886
349,karagay,58.2667,54.9368,14.49,60,100,3.06,RU,1682483887
350,sinjai,-5.1241,120.253,29.85,72,83,3.63,ID,1682483889
351,ceprano,41.5457,13.5147,12.1,83,1,1.72,IT,1682483889
352,kirensk,57.7853,108.1119,7.06,48,57,1.63,RU,1682483890
353,borogontsy,62.6683,131.1683,1.67,92,99,3.54,RU,1682483891
354,karasburg,-28.0167,18.75,18.94,48,1,4.25,NA,1682483891
355,san rafael,-34.6177,-68.3301,18.21,41,91,3.89,AR,1682483892
356,jabor,5.921,169.6434,27.09,81,94,10.94,MH,1682483893
357,qamdo,31.1667,97.2333,0.42,69,95,4.07,CN,1682483894
358,boca do acre,-8.7522,-67.3978,21.92,97,97,0.34,BR,1682483894
359,scottburgh,-30.2867,30.7532,20.17,87,7,2.0,ZA,1682483895
360,ga-rankuwa,-25.6169,27.9947,13.77,57,8,1.96,ZA,1682483896
361,traverse city,44.7631,-85.6206,2.04,84,0,2.06,US,1682483896
